model,area,method,rmse,mae,r2,bias,corr,n
INM-CM5-0,cbm,linear,0.6709934194936136,0.5076350297060906,0.9495472426548719,-0.22677645813566852,0.9781141594277091,120
INM-CM5-0,cbm,qm,0.6458794399573761,0.49089277913453244,0.9532532627282666,-0.16840024171375148,0.9780429513125756,120
INM-CM5-0,cbm,xgb,0.7156482491671234,0.5676605581537882,0.9426084954071862,-0.3811488095830281,0.9798649093129752,120
INM-CM5-0,tna,linear,0.4178594965260448,0.3162993955363811,0.8791055963645382,-0.13464697531565498,0.9452387943090758,120
INM-CM5-0,tna,qm,0.4056371084289536,0.30016516159317047,0.8860744850365521,-0.10666171035518873,0.9455207384257144,120
INM-CM5-0,tna,xgb,0.49351342144572496,0.3847783179239909,0.8313666062955847,-0.3033215881896972,0.9460990647897116,120
INM-CM5-0,tsa,linear,0.19530516263070957,0.15504441212285155,0.9454555313201686,0.05875561114994487,0.9750198015372974,120
INM-CM5-0,tsa,qm,0.25606084479110497,0.19740052830035948,0.9062417232138996,0.11072453630801991,0.9698486953932843,120
INM-CM5-0,tsa,xgb,0.19492010812290678,0.15438694539794903,0.945670393942268,-0.027540751487223295,0.9731928060403853,120
INM-CM5-0,nat,linear,0.4991142555473704,0.3820313330087347,0.8336342492902351,-0.11219657458872409,0.9188429292249721,120
INM-CM5-0,nat,qm,0.4896563898131175,0.370270967184266,0.8398795403681238,-0.053368374909511296,0.9179436440400967,120
INM-CM5-0,nat,xgb,0.5509803007136184,0.43207238974812817,0.7972615512992348,-0.2917246449544271,0.9241769091490062,120
INM-CM5-0,sat,linear,0.41696246590192804,0.33509745946794395,0.8526430583429625,-0.03908851846936449,0.9241174532641863,120
INM-CM5-0,sat,qm,0.4843039422472431,0.37523856401303995,0.8012016923890679,0.08639155517445989,0.9150327345381011,120
INM-CM5-0,sat,xgb,0.3812603017005198,0.2990771617746991,0.8767974068658655,-0.062279685425821865,0.9383936338355408,120
INM-CM5-0,tasi,linear,0.5657640989801608,0.4602358467534335,0.9331502747457601,-0.18470998863230942,0.9698694623141895,120
INM-CM5-0,tasi,qm,0.6364827146158861,0.5265117461339046,0.9153938207335488,-0.1897970907549603,0.9614107874362214,120
INM-CM5-0,tasi,xgb,0.5212509221268552,0.41194494763744155,0.943255662714025,-0.1939483171409034,0.9757801968188194,120
INM-CM5-0,wtio,linear,0.3673036404443739,0.2922382185088427,0.7674427321392207,-0.009643244422185315,0.8773380189013646,120
INM-CM5-0,wtio,qm,0.3872578900295352,0.30868165005391324,0.7414884207380117,0.09292616739707894,0.8723600584261006,120
INM-CM5-0,wtio,xgb,0.37294774399467306,0.2963386669687908,0.760240723262237,-0.2020723907969157,0.9126374753749406,120
INM-CM5-0,setio,linear,0.4466224018419966,0.3450648502992436,0.36417348686112694,-0.0658685313662902,0.649366456389351,120
INM-CM5-0,setio,qm,0.4946319807158113,0.39641689160254523,0.22013036154563725,0.18586179414620693,0.6435240360531893,120
INM-CM5-0,setio,xgb,0.4101182977756906,0.3279293953633626,0.4638628267860385,-0.19283531200154613,0.7672245054190613,120
INM-CM5-0,swio,linear,0.36004716904429585,0.2847979511676947,0.8004684560730193,0.004670281487269386,0.8947339655836739,120
INM-CM5-0,swio,qm,0.3857459327497868,0.3119258310848655,0.770968365105972,0.08382189414113167,0.8942851801741601,120
INM-CM5-0,swio,xgb,0.3987165854103762,0.3150745181193034,0.7553071018710134,-0.2167721871236165,0.9121048935614089,120
INM-CM5-0,dmi,linear,0.5088456405057686,0.39938931796925453,0.20746005292531366,0.02972544645190934,0.4606757293474232,120
INM-CM5-0,dmi,qm,0.7138130977280676,0.5629351939190913,-0.5596173953068795,0.12216237862210218,0.3630614776574731,120
INM-CM5-0,dmi,xgb,0.4311691745133652,0.34336697292409707,0.4309578270181783,0.08757194754662298,0.6887639684590671,120
MIROC6,nino12,linear,1.1380099309541793,0.9269849695502042,0.7141091389379595,0.6033528300779802,0.8922663275549154,120
MIROC6,nino12,qm,1.4436632301193788,1.187020814385363,0.5399130032842349,0.8444350656761822,0.8807215325947495,120
MIROC6,nino12,xgb,0.9753993458183032,0.7783883660380044,0.7899739867090889,0.3636983895629882,0.9069935469377319,120
MIROC6,nino3,linear,0.8342934124685965,0.6568673683008238,0.46686277507189544,0.29948165490418427,0.7319892128935893,120
MIROC6,nino3,qm,1.1222209726834964,0.8841670040249805,0.03537582958648733,0.5236408639492897,0.7254295674737941,120
MIROC6,nino3,xgb,0.7819277641531287,0.6214934343037924,0.5316886901186653,0.1440149648864747,0.7402228242909424,120
MIROC6,nino34,linear,0.8091757069684009,0.6626605254851687,0.12905602811755923,0.19532801636158295,0.42610624062285724,120
MIROC6,nino34,qm,1.0771332027163387,0.9121788935536463,-0.5432751822547335,0.32785069172358816,0.4475074731238124,120
MIROC6,nino34,xgb,0.8499431071676288,0.7026750831095379,0.03908658121367914,0.1568003302510579,0.34711219954118216,120
MIROC6,nino4,linear,0.7041864914019526,0.5865991904720375,-0.0041613952958357014,-0.00640956861290792,0.016515097049840662,120
MIROC6,nino4,qm,1.0014896149695027,0.8147658891965887,-1.0310519981571726,0.10118174157036375,0.0648103922960505,120
MIROC6,nino4,xgb,0.7510825359406377,0.6047366630340576,-0.14236126756367007,0.02114569321187331,0.14216274977823273,120
